,name,E_O,E_H,E_CO2,E_CO,Substrate,Dopant,sub_formula_pretty,sub_material_id,sub_composition,sub_MagpieData mean Number,sub_MagpieData mean MendeleevNumber,sub_MagpieData mean AtomicWeight,sub_MagpieData mean MeltingT,sub_MagpieData mean Column,sub_MagpieData mean Row,sub_MagpieData mean CovalentRadius,sub_MagpieData mean Electronegativity,sub_MagpieData mean NsValence,sub_MagpieData mean NpValence,sub_MagpieData mean NdValence,sub_MagpieData mean NfValence,sub_MagpieData mean NValence,sub_MagpieData mean NsUnfilled,sub_MagpieData mean NpUnfilled,sub_MagpieData mean NdUnfilled,sub_MagpieData mean NfUnfilled,sub_MagpieData mean NUnfilled,sub_MagpieData mean GSvolume_pa,sub_MagpieData mean GSbandgap,sub_MagpieData mean GSmagmom,sub_MagpieData mean SpaceGroupNumber,sub_transition metal fraction,sub_band center,sub_avg s valence electrons,sub_avg p valence electrons,sub_avg d valence electrons,sub_avg f valence electrons,sub_frac s valence electrons,sub_frac p valence electrons,sub_frac d valence electrons,sub_frac f valence electrons,dop_formula_pretty,dop_material_id,dop_composition,dop_MagpieData mean Number,dop_MagpieData mean MendeleevNumber,dop_MagpieData mean AtomicWeight,dop_MagpieData mean MeltingT,dop_MagpieData mean Column,dop_MagpieData mean Row,dop_MagpieData mean CovalentRadius,dop_MagpieData mean Electronegativity,dop_MagpieData mean NsValence,dop_MagpieData mean NpValence,dop_MagpieData mean NdValence,dop_MagpieData mean NfValence,dop_MagpieData mean NValence,dop_MagpieData mean NsUnfilled,dop_MagpieData mean NpUnfilled,dop_MagpieData mean NdUnfilled,dop_MagpieData mean NfUnfilled,dop_MagpieData mean NUnfilled,dop_MagpieData mean GSvolume_pa,dop_MagpieData mean GSbandgap,dop_MagpieData mean GSmagmom,dop_MagpieData mean SpaceGroupNumber,dop_transition metal fraction,dop_band center,dop_avg s valence electrons,dop_avg p valence electrons,dop_avg d valence electrons,dop_avg f valence electrons,dop_frac s valence electrons,dop_frac p valence electrons,dop_frac d valence electrons,dop_frac f valence electrons
10,Ag_Tc,-0.80362,-0.45615,-0.6179,-2.81404,Ag,Tc,Ag,mp-8566,Ag1,47.0,65.0,107.8682,1234.93,11.0,5.0,145.0,1.93,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,16.33,0.0,0.0,225.0,1.0,4.439262023217247,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Tc,mp-113,Tc1,43.0,53.0,98.0,2430.0,7.0,5.0,147.0,1.9,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,14.285,0.0,0.0,194.0,1.0,3.9127280265339963,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
11,Ag_V,-1.59849,-0.06047,-0.8351,-2.00839,Ag,V,Ag,mp-8566,Ag1,47.0,65.0,107.8682,1234.93,11.0,5.0,145.0,1.93,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,16.33,0.0,0.0,225.0,1.0,4.439262023217247,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,V,mp-146,V1,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0,229.0,1.0,3.6354684908789383,2.0,0.0,3.0,0.0,0.4,0.0,0.6,0.0
12,Ag_W,-2.04263,-0.50969,-1.0117,-2.77271,Ag,W,Ag,mp-8566,Ag1,47.0,65.0,107.8682,1234.93,11.0,5.0,145.0,1.93,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,16.33,0.0,0.0,225.0,1.0,4.439262023217247,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,W,mp-91,W1,74.0,51.0,183.84,3695.0,6.0,6.0,162.0,2.36,2.0,0.0,4.0,14.0,20.0,0.0,0.0,6.0,0.0,6.0,16.05,0.0,0.0,229.0,1.0,4.397802653399668,2.0,0.0,4.0,14.0,0.1,0.0,0.2,0.7
13,Au_Co,1.265792,-0.07887,0.3733,-1.97175,Au,Co,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Co,mp-102,Co1,27.0,58.0,58.933195,1768.0,9.0,4.0,126.0,1.88,2.0,0.0,7.0,0.0,9.0,0.0,0.0,3.0,0.0,3.0,10.245,0.0,1.5484712,194.0,1.0,4.270833333333333,2.0,0.0,7.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0
14,Au_Cr,-0.47431,-1.83212,0.105581,0.29772,Au,Cr,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Cr,mp-90,Cr1,24.0,49.0,51.9961,2180.0,6.0,4.0,139.0,1.66,1.0,0.0,5.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,11.19,0.0,0.0,229.0,1.0,3.7168325041459367,1.0,0.0,5.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
15,Au_Fe,0.73728,-0.1428,0.2343,-2.17984,Au,Fe,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Fe,mp-13,Fe1,26.0,55.0,55.845,1811.0,8.0,4.0,132.0,1.83,2.0,0.0,6.0,0.0,8.0,0.0,0.0,4.0,0.0,4.0,10.73,0.0,2.1106628,229.0,1.0,4.032960199004975,2.0,0.0,6.0,0.0,0.25,0.0,0.75,0.0
16,Au_Ir,1.52641,-2.19685,-0.4635,0.699409,Au,Ir,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Ir,mp-101,Ir1,77.0,60.0,192.217,2739.0,9.0,6.0,141.0,2.2,2.0,0.0,7.0,14.0,23.0,0.0,0.0,3.0,0.0,3.0,14.21,0.0,0.0,225.0,1.0,5.343076285240464,2.0,0.0,7.0,14.0,0.08695652173913043,0.0,0.30434782608695654,0.6086956521739131
17,Au_Mn,0.061009,-0.10269,0.1467,-2.17424,Au,Mn,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Mn,mp-35,Mn1,25.0,52.0,54.938045,1519.0,7.0,4.0,139.0,1.55,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,10.4875862069,0.0,0.000310120689655,217.0,1.0,3.7173507462686564,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
18,Au_Mo,-0.65965,-1.94005,0.000908,0.307236,Au,Mo,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Mo,mp-129,Mo1,42.0,50.0,95.96,2896.0,6.0,5.0,154.0,2.16,1.0,0.0,5.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,15.69,0.0,0.0,229.0,1.0,3.918946932006633,1.0,0.0,5.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
19,Au_Os,0.428914,-2.55049,-0.55709,0.379894,Au,Os,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Os,mp-49,Os1,76.0,57.0,190.23,3306.0,8.0,6.0,144.0,2.2,2.0,0.0,6.0,14.0,22.0,0.0,0.0,4.0,0.0,4.0,14.09,0.0,0.0,194.0,1.0,4.903088723051409,2.0,0.0,6.0,14.0,0.09090909090909091,0.0,0.2727272727272727,0.6363636363636364
20,Au_Re,-0.52798,-2.41719,-0.46199,0.310027,Au,Re,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Re,mp-1186901,Re1,75.0,54.0,186.207,3459.0,7.0,6.0,151.0,1.9,2.0,0.0,5.0,14.0,21.0,0.0,0.0,5.0,0.0,5.0,14.655,0.0,0.0,194.0,1.0,4.013785240464345,2.0,0.0,5.0,14.0,0.09523809523809523,0.0,0.23809523809523808,0.6666666666666666
21,Au_Ru,0.922749,-0.38067,0.247,-2.36111,Au,Ru,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Ru,mp-33,Ru1,44.0,56.0,101.07,2607.0,8.0,5.0,146.0,2.2,1.0,0.0,7.0,0.0,8.0,1.0,0.0,3.0,0.0,4.0,13.51,0.0,0.0,194.0,1.0,4.205534825870647,1.0,0.0,7.0,0.0,0.125,0.0,0.875,0.0
22,Au_Ta,-1.07215,-1.54017,0.211358,0.277347,Au,Ta,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Ta,mp-569794,Ta1,73.0,48.0,180.94788,3290.0,5.0,6.0,170.0,1.5,2.0,0.0,3.0,14.0,19.0,0.0,0.0,7.0,0.0,7.0,18.12,0.0,0.0,229.0,1.0,4.104477611940299,2.0,0.0,3.0,14.0,0.10526315789473684,0.0,0.15789473684210525,0.7368421052631579
23,Au_Tc,-0.19715,-0.3443,0.1288,-2.3868,Au,Tc,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Tc,mp-113,Tc1,43.0,53.0,98.0,2430.0,7.0,5.0,147.0,1.9,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,14.285,0.0,0.0,194.0,1.0,3.9127280265339963,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
24,Au_V,-0.84224,0.213106,0.122,-1.64636,Au,V,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,V,mp-146,V1,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0,229.0,1.0,3.6354684908789383,2.0,0.0,3.0,0.0,0.4,0.0,0.6,0.0
25,Au_W,-1.17238,-2.09188,-0.19484,0.212967,Au,W,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,W,mp-91,W1,74.0,51.0,183.84,3695.0,6.0,6.0,162.0,2.36,2.0,0.0,4.0,14.0,20.0,0.0,0.0,6.0,0.0,6.0,16.05,0.0,0.0,229.0,1.0,4.397802653399668,2.0,0.0,4.0,14.0,0.1,0.0,0.2,0.7
